scene,degradation,channel,severity,frame,n_gt,tp,fp,fn,precision,recall,f1,mean_iou,depth_err_signed,depth_err_max,err3d,reliability,status,diagnosis1,diagnosis_all,latency_ms,monitor_ms,n_tracks,s_confidence,s_sharpness,s_exposure,s_clipping,s_noise,s_chroma,s_ood,s_temporal,s_motion,s_depth_valid,s_depth_consistency,s_geometry,s_timing,depth_err_corr,failure
multi,motion_blur,image,0.25,7,2,2,0,0,1.0,1.0,1.0,0.7349089444485337,-1.2314239170240313,2.112847452578336,1.2745156481747453,0.8355393971206196,TRUSTED,Motion blur or defocus,Motion blur or defocus | Geometric inconsistency (calibration or depth scale error) | Distribution shift (input unlike calibration set),44.206674999998086,6.200433999993038,2,0.8442078187678528,0.4728594039715447,0.9995141735919479,1.0,1.0,0.9723069820486042,0.7915815175194283,0.8295119123914089,0.7429728446322207,0.8321276163381426,0.9917997434533319,0.7863641834774767,1.0,0.9079361791196092,0
multi,motion_blur,image,0.25,8,2,2,0,0,1.0,1.0,1.0,0.8106265912061248,-5.719565598861031,11.089130816252336,5.756777671551996,0.7656954322652717,TRUSTED,Geometric inconsistency (calibration or depth scale error),Geometric inconsistency (calibration or depth scale error) | Motion blur or defocus | Distribution shift (input unlike calibration set),44.12400000001071,6.028447000005599,2,0.8123442908910206,0.5045126285821265,0.9996860786769958,1.0,1.0,0.9636122532409293,0.8008128360283598,0.813312662639018,0.7040982794588446,0.9105574324324325,1.0,0.3362261189960484,1.0,-3.5802055027173907,1
multi,motion_blur,image,0.25,9,2,2,0,0,1.0,1.0,1.0,0.8029337465056979,-1.2670029349949044,2.184005488520082,1.2671812819938537,0.8445705575964423,TRUSTED,Motion blur or defocus,Motion blur or defocus | Geometric inconsistency (calibration or depth scale error) | Unstable tracking / temporal disagreement,44.62354799994728,6.424068999990595,2,0.8216746913523153,0.5785774454306375,0.9982128591724184,1.0,1.0,0.9816260489751778,0.8392006276778652,0.798432720133385,0.6778261015771996,0.8867562617562618,0.9907851880799313,0.7378838623464811,1.0,0.8723571611487362,0
multi,motion_blur,image,0.25,10,2,2,0,0,1.0,1.0,1.0,0.8444614615420083,-1.2469516007796582,2.1439028200895898,1.2496744228157513,0.8654152033488232,TRUSTED,Geometric inconsistency (calibration or depth scale error),Geometric inconsistency (calibration or depth scale error) | Motion blur or defocus | Unstable tracking / temporal disagreement,43.50608600003625,6.0510800000201925,2,0.8865030220826766,0.6856143434158254,0.994437314156366,1.0,1.0,1.0,0.8813009234607905,0.7962157116832644,0.670766971492444,0.8994158667123784,0.9887793862098766,0.716558182347702,1.0,0.8924084953639824,0
multi,motion_blur,image,0.25,11,2,2,0,0,1.0,1.0,1.0,0.8363506921931526,-1.2450300921564512,2.140059802843176,1.2500066380185755,0.8784629277324931,TRUSTED,Geometric inconsistency (calibration or depth scale error),Geometric inconsistency (calibration or depth scale error) | Motion blur or defocus | Unstable tracking / temporal disagreement,44.168918999957896,6.174253999972734,2,0.9107100779390616,0.7614473895976578,0.9942735444971538,1.0,1.0,1.0,0.8926647787442231,0.8009753475811145,0.6852966896958428,0.8911240786240786,0.9882492646033707,0.7220138008437813,1.0,0.8943300039871893,0
multi,motion_blur,image,0.25,12,2,2,0,0,1.0,1.0,1.0,0.875942059324744,-1.2447860966558046,2.1395718118418827,1.250221055677212,0.8935660357982332,TRUSTED,Geometric inconsistency (calibration or depth scale error),Geometric inconsistency (calibration or depth scale error) | Unstable tracking / temporal disagreement | Erratic object motion (large filter innovation),44.38117899991312,6.094651000012163,2,0.9139342274783715,0.8865090835197412,0.9932693499777072,1.0,1.0,1.0,0.8935642748351451,0.8043283288298675,0.7058636608891299,0.8987414187643021,0.987717405314714,0.7240687927467075,1.0,0.8945739994878359,0
multi,motion_blur,image,0.25,13,2,2,0,0,1.0,1.0,1.0,0.7771636499470809,-1.2441353590592108,2.138270336648695,1.2560965868494358,0.9019549536074499,TRUSTED,Geometric inconsistency (calibration or depth scale error),Geometric inconsistency (calibration or depth scale error) | Unstable tracking / temporal disagreement | Erratic object motion (large filter innovation),44.13073999990047,6.2419049999675735,2,0.9097233742324077,0.9161165123095334,0.9959398919367848,1.0,1.0,1.0,0.898756661758356,0.808092121913119,0.749456784872208,0.9217836257309941,0.9868932549018317,0.727942475097012,1.0,0.8952247370844297,0
multi,motion_blur,image,0.25,14,1,1,0,0,1.0,1.0,1.0,0.9074849694633974,-2.136158238286555,2.136158238286555,2.1489505703724125,0.8689173268826365,TRUSTED,Motion blur or defocus,Motion blur or defocus | Unstable tracking / temporal disagreement | Erratic object motion (large filter innovation),41.22460600001432,5.935584999974708,1,0.9220770565066564,0.6281132896077108,0.9993758713527428,1.0,1.0,0.9694443489656295,0.878716054714848,0.7485158580709452,0.6277226701966312,0.96,0.9717546642382698,0.8280827216716802,1.0,0.0032018578570855993,0
multi,motion_blur,image,0.25,15,1,1,0,0,1.0,1.0,1.0,0.9273720037015654,-2.138255658357039,2.138255658357039,2.1510309095098776,0.8736572670314443,TRUSTED,Motion blur or defocus,Motion blur or defocus | Unstable tracking / temporal disagreement | Erratic object motion (large filter innovation),42.22870600000306,6.213731000002554,1,0.9209108797785307,0.6348536291021342,0.9987473212784008,1.0,1.0,0.983260671689891,0.8834495710617795,0.7392612146553411,0.6220673812162429,0.9615384615384616,0.969799275133065,0.867118531143114,1.0,0.0011044377866014088,0
multi,motion_blur,image,0.25,16,1,1,0,0,1.0,1.0,1.0,0.9648007825531518,-2.139051312985629,2.139051312985629,2.1512074002029165,0.8620838000085744,TRUSTED,Motion blur or defocus,Motion blur or defocus | Unstable tracking / temporal disagreement | Erratic object motion (large filter innovation),42.601687000058064,5.865501000016593,1,0.8838244242633264,0.5948224966517914,0.9966395385586466,1.0,1.0,0.9991990817089605,0.8732508788404731,0.7331997937265392,0.6142676025524283,0.9814814814814815,0.9696379856647057,0.8405881534552757,1.0,0.0003087831580117495,0
